iter	Passed	Remaining
0	13	13916
1	21	10605
2	34	11366
3	46	11480
4	58	11649
5	69	11465
6	80	11414
7	92	11483
8	105	11642
9	116	11571
10	127	11475
11	138	11383
12	149	11376
13	162	11418
14	173	11381
15	183	11294
16	196	11376
17	209	11413
18	225	11643
19	239	11739
20	251	11716
21	263	11725
22	277	11769
23	290	11805
24	302	11808
25	314	11792
26	326	11764
27	338	11762
28	352	11798
29	363	11739
30	375	11722
31	387	11730
32	400	11734
33	412	11724
34	424	11716
35	438	11732
36	452	11767
37	464	11748
38	475	11726
39	486	11669
40	498	11655
41	510	11639
42	524	11671
43	535	11624
44	545	11584
45	558	11584
46	571	11596
47	584	11584
48	595	11553
49	608	11553
50	620	11553
51	633	11543
52	644	11523
53	657	11517
54	671	11533
55	684	11532
56	698	11552
57	709	11526
58	724	11560
59	738	11570
60	751	11565
61	762	11534
62	773	11501
63	786	11508
64	799	11505
65	812	11495
66	823	11472
67	834	11437
68	850	11469
69	862	11460
70	873	11435
71	884	11406
72	896	11386
73	909	11375
74	922	11372
75	933	11354
76	945	11333
77	958	11333
78	974	11357
79	985	11330
80	996	11310
81	1008	11290
82	1020	11271
83	1031	11243
84	1042	11218
85	1053	11195
86	1065	11185
87	1080	11196
88	1092	11184
89	1108	11203
90	1123	11227
91	1139	11243
92	1154	11257
93	1168	11266
94	1182	11261
95	1194	11244
96	1206	11227
97	1217	11210
98	1231	11203
99	1243	11193
100	1254	11165
101	1266	11145
102	1276	11119
103	1287	11091
104	1297	11063
105	1308	11036
106	1318	11003
107	1329	10983
108	1340	10961
109	1351	10937
110	1364	10924
111	1376	10915
112	1389	10906
113	1399	10878
114	1410	10854
115	1421	10834
116	1434	10825
117	1445	10802
118	1456	10783
119	1468	10766
120	1480	10754
121	1490	10724
122	1502	10712
123	1514	10696
124	1524	10673
125	1535	10649
126	1546	10629
127	1557	10611
128	1567	10586
129	1579	10569
130	1590	10553
131	1602	10534
132	1613	10515
133	1623	10492
134	1634	10471
135	1645	10454
136	1656	10433
137	1667	10413
138	1678	10394
139	1688	10370
140	1699	10355
141	1710	10334
142	1720	10313
143	1730	10288
144	1742	10276
145	1753	10259
146	1763	10235
147	1776	10225
148	1789	10217
149	1802	10214
150	1815	10208
151	1830	10212
152	1842	10197
153	1854	10185
154	1867	10180
155	1880	10173
156	1892	10163
157	1906	10162
158	1924	10178
159	1937	10171
160	1950	10162
161	1963	10158
162	1976	10149
163	1991	10150
164	2005	10147
165	2017	10136
166	2030	10128
167	2043	10119
168	2054	10102
169	2065	10086
170	2077	10072
171	2088	10056
172	2099	10036
173	2109	10013
174	2120	9998
175	2131	9977
176	2140	9953
177	2152	9939
178	2164	9929
179	2174	9906
180	2185	9889
181	2197	9876
182	2208	9857
183	2218	9839
184	2230	9824
185	2240	9806
186	2251	9787
187	2262	9771
188	2272	9753
189	2283	9734
190	2293	9712
191	2302	9690
192	2314	9675
193	2325	9661
194	2336	9645
195	2347	9630
196	2358	9613
197	2369	9595
198	2378	9573
199	2390	9561
200	2400	9542
201	2410	9524
202	2421	9507
203	2432	9492
204	2444	9480
205	2464	9499
206	2479	9500
207	2493	9494
208	2508	9495
209	2531	9522
210	2549	9534
211	2565	9534
212	2584	9547
213	2608	9579
214	2626	9590
215	2644	9599
216	2663	9611
217	2683	9624
218	2702	9637
219	2721	9649
220	2739	9655
221	2758	9667
222	2774	9668
223	2790	9665
224	2809	9678
225	2827	9681
226	2839	9670
227	2853	9660
228	2881	9702
229	2892	9682
230	2903	9665
231	2916	9653
232	2929	9642
233	2940	9624
234	2951	9608
235	2963	9592
236	2980	9594
237	2993	9583
238	3005	9570
239	3017	9553
240	3028	9539
241	3041	9526
242	3052	9508
243	3063	9492
244	3076	9481
245	3086	9461
246	3096	9441
247	3108	9426
248	3120	9411
249	3130	9390
250	3141	9373
251	3152	9358
252	3163	9339
253	3173	9320
254	3184	9302
255	3194	9283
256	3204	9263
257	3218	9256
258	3232	9247
259	3245	9237
260	3257	9222
261	3269	9209
262	3280	9191
263	3290	9172
264	3301	9156
265	3312	9140
266	3323	9123
267	3333	9105
268	3344	9089
269	3356	9076
270	3367	9058
271	3377	9039
272	3387	9021
273	3398	9003
274	3409	8988
275	3420	8973
276	3430	8954
277	3458	8981
278	3470	8968
279	3481	8951
280	3494	8941
281	3506	8926
282	3517	8911
283	3527	8893
284	3538	8878
285	3550	8863
286	3561	8848
287	3572	8830
288	3582	8814
289	3593	8797
290	3604	8781
291	3614	8763
292	3625	8747
293	3635	8731
294	3647	8717
295	3659	8702
296	3669	8685
297	3679	8668
298	3690	8652
299	3700	8635
300	3713	8623
301	3725	8610
302	3734	8591
303	3745	8576
304	3757	8562
305	3766	8543
306	3778	8528
307	3791	8518
308	3802	8503
309	3812	8486
310	3825	8474
311	3837	8462
312	3848	8447
313	3858	8429
314	3869	8414
315	3879	8398
316	3890	8381
317	3899	8363
318	3909	8345
319	3919	8329
320	3931	8315
321	3942	8301
322	3952	8285
323	3964	8271
324	3974	8255
325	3985	8239
326	3995	8223
327	4006	8207
328	4016	8192
329	4028	8178
330	4037	8161
331	4048	8146
332	4059	8130
333	4068	8113
334	4079	8098
335	4091	8085
336	4102	8070
337	4112	8055
338	4124	8042
339	4136	8028
340	4146	8013
341	4157	7999
342	4169	7985
343	4180	7971
344	4190	7955
345	4202	7942
346	4212	7927
347	4223	7913
348	4237	7904
349	4250	7893
350	4263	7883
351	4285	7889
352	4298	7878
353	4315	7874
354	4329	7867
355	4343	7856
356	4355	7844
357	4366	7831
358	4381	7822
359	4394	7811
360	4407	7801
361	4417	7785
362	4428	7771
363	4446	7768
364	4462	7763
365	4476	7753
366	4490	7744
367	4505	7737
368	4518	7727
369	4530	7713
370	4542	7701
371	4558	7695
372	4573	7688
373	4585	7675
374	4598	7663
375	4609	7649
376	4623	7639
377	4637	7631
378	4650	7619
379	4660	7604
380	4671	7589
381	4683	7577
382	4696	7566
383	4707	7551
384	4717	7535
385	4730	7525
386	4743	7513
387	4753	7498
388	4765	7485
389	4780	7477
390	4793	7465
391	4806	7454
392	4816	7438
393	4827	7424
394	4839	7412
395	4851	7399
396	4864	7389
397	4876	7375
398	4888	7363
399	4910	7365
400	4934	7371
401	4950	7364
402	4969	7361
403	4992	7364
404	5004	7352
405	5018	7342
406	5031	7331
407	5041	7315
408	5052	7300
409	5065	7288
410	5078	7277
411	5089	7263
412	5101	7250
413	5112	7237
414	5129	7230
415	5141	7218
416	5152	7203
417	5163	7189
418	5174	7175
419	5186	7162
420	5198	7149
421	5209	7135
422	5221	7123
423	5232	7107
424	5245	7096
425	5255	7080
426	5265	7066
427	5279	7055
428	5291	7043
429	5303	7029
430	5313	7015
431	5325	7002
432	5338	6991
433	5351	6978
434	5361	6963
435	5373	6950
436	5389	6943
437	5402	6931
438	5415	6920
439	5425	6905
440	5436	6890
441	5449	6879
442	5463	6868
443	5473	6854
444	5484	6840
445	5496	6827
446	5508	6815
447	5520	6801
448	5531	6787
449	5543	6775
450	5554	6760
451	5564	6745
452	5574	6731
453	5585	6717
454	5596	6703
455	5606	6688
456	5617	6674
457	5628	6660
458	5640	6648
459	5651	6634
460	5661	6619
461	5672	6606
462	5684	6592
463	5695	6579
464	5706	6565
465	5718	6552
466	5729	6538
467	5739	6524
468	5751	6511
469	5763	6499
470	5774	6485
471	5784	6470
472	5796	6458
473	5808	6445
474	5817	6430
475	5828	6415
476	5840	6403
477	5851	6390
478	5862	6376
479	5873	6362
480	5885	6350
481	5897	6338
482	5909	6325
483	5920	6311
484	5931	6298
485	5942	6285
486	5955	6273
487	5965	6258
488	5976	6245
489	5987	6232
490	5998	6217
491	6008	6203
492	6019	6190
493	6029	6176
494	6039	6161
495	6050	6147
496	6060	6133
497	6070	6118
498	6081	6105
499	6092	6092
500	6102	6078
